GeneID,Log2FoldChange,p-value,Adjustedp-value
"MSTRG.17021",-0.318977163310856,3.40771403209588e-05,0.000366665688816534
"MSTRG.16339",2.27416855272456,4.03974559163401e-33,2.84347592831139e-30
"MSTRG.6294",-0.541026140720625,7.34923357166619e-06,9.60917977756633e-05
"MSTRG.9820",1.04643518156711,3.268421959998e-13,2.08352649699043e-11
"MSTRG.18552",0.434476659497594,1.72810788172684e-13,1.13591153486426e-11
"MSTRG.16788",0.941667209417152,3.30333880548871e-23,9.96487543591442e-21
"MSTRG.3810",0.554810389107472,2.32594713115014e-14,1.80763432457971e-12
"MSTRG.13755",4.12095713911384,1.14456184982419e-10,4.67030998286958e-09
"MSTRG.13436",0.396335963366536,1.46582926876672e-18,2.13910674851325e-16
"MSTRG.4963",1.3546704739378,0.00025895390475396,0.00205859214729819
"MSTRG.13767",2.92292142919819,1.13166362444204e-10,4.62886043769961e-09
"MSTRG.16483",0.492827160655417,1.10579292686499e-14,8.93787555671308e-13
"MSTRG.15350",-3.93044867520637,9.80278422754806e-31,5.51994779853231e-28
"MSTRG.18297",-0.783128985058616,1.02700795119157e-10,4.25226600967626e-09
"MSTRG.18433",1.44468289528813,7.53991854161844e-20,1.3996905925666e-17
"MSTRG.8997",0.428957236570741,6.43510089734011e-08,1.46309770469403e-06
"MSTRG.6790",-1.12904064251345,1.58404612075837e-12,9.04030105336866e-11
"MSTRG.4216",-0.351634675697859,1.79113849777626e-05,0.000211002110480713
"MSTRG.4607",-1.56381902630922,1.24167879579028e-14,9.98841899870725e-13
"MSTRG.4551",-1.99993873903473,0.000216171527082434,0.0017804903008306
"MSTRG.6358",1.89368251287456,2.29107176060976e-27,9.92386544922581e-25
"MSTRG.4207",-3.93345998670204,8.70784787899212e-18,1.1229135436627e-15
"MSTRG.5444",-0.857385864701939,1.97655983709776e-06,3.06893615147909e-05
"MSTRG.5704",-2.8240244690667,8.42981103914798e-10,2.87106447347433e-08
"MSTRG.1039",-4.0026969731567,2.00143926271304e-17,2.43239665215909e-15
"MSTRG.17997",3.55197486054304,5.00104075127561e-25,1.76005377940206e-22
"MSTRG.14664",-2.30829715044743,2.19149656810248e-07,4.46570996161203e-06
"MSTRG.3323",-0.882625699631347,3.61827425712523e-16,3.59550041327156e-14
"MSTRG.8165",-1.73452234165124,7.62030379156488e-14,5.2975223025064e-12
"MSTRG.4665",-1.11061834465064,7.0054217180301e-06,9.27986922747662e-05
"MSTRG.17778",-3.28295061333284,4.47888089784521e-17,5.04411566715328e-15
"MSTRG.8327",3.29663600351259,5.41474400990081e-10,1.9216653478835e-08
"MSTRG.417",1.49735732915154,1.82421692489896e-25,6.69923837224308e-23
"MSTRG.3878",-0.27586067951845,0.00120696178459053,0.00754038662244375
"MSTRG.12535",-1.53443101557365,1.69236600566933e-11,7.89755219164972e-10
"MSTRG.8402",0.508983703341639,4.11897193613016e-12,2.16765710021952e-10
"MSTRG.17664",-2.35395088082132,0.000200780489527838,0.00167082995546491
"MSTRG.11119",-0.373752124347666,7.30282219379626e-05,0.000711046543629972
"MSTRG.18482",2.14937920630199,2.45176829748838e-11,1.11939788782355e-09
"MSTRG.10963",-1.20432370337571,1.25439925813243e-12,7.28198167272549e-11
"MSTRG.17651",2.84878637791979,2.27134370909513e-08,5.6844161892954e-07
"MSTRG.8973",-0.696369708478163,4.91500351508449e-08,1.1531826997267e-06
"MSTRG.17789",3.35490832021288,3.68514552682673e-22,9.72705677885686e-20
"MSTRG.601",-2.7066356945238,3.13504531138755e-18,4.27099358429596e-16
"MSTRG.6015",0.738676733906106,1.74976625893381e-06,2.75576973678674e-05
"MSTRG.6019",0.631416835334366,0.000925119711466114,0.00601541465966015
"MSTRG.18046",-2.42271351005814,1.99714832690259e-10,7.77369278487682e-09
"MSTRG.17490",2.280446316431,4.57064085346079e-21,9.77365011867255e-19
"MSTRG.5455",2.26957499404617,4.86921422645837e-19,7.75996565354351e-17
"MSTRG.12956",1.43155918352567,1.06268292746865e-13,7.2679767990801e-12
"MSTRG.9252",0.868873356876932,2.32066577970648e-21,5.15829039691862e-19
"MSTRG.13000",0.298275511522391,2.71333720724276e-10,1.03468183841878e-08
"MSTRG.223",-1.14999654830915,2.68483061551239e-19,4.62804526406641e-17
"MSTRG.2233",-1.83242603620678,3.82103229198921e-07,7.25266275377233e-06
"MSTRG.2234",0.614257797685308,1.05650899888091e-06,1.79553385493915e-05
"MSTRG.2236",-1.45036342353967,0.000201465925030381,0.00167570845472094
"MSTRG.2231",-0.43262502393935,0.000915121766061324,0.00596187890245814
"MSTRG.2521",0.991013699935574,4.31374840660665e-19,7.07496619735982e-17
"MSTRG.501",-0.656628587534798,1.07354206659297e-06,1.82081788463404e-05
"MSTRG.5014",2.60448223425044,0.000369324303077783,0.00278826356449771
"MSTRG.2561",0.557898547130722,1.76970620599746e-16,1.82290530109239e-14
"MSTRG.17855",2.44531240109202,4.53437604999443e-20,8.90688542006464e-18
"MSTRG.16384",3.97819607417207,1.33671457552113e-08,3.5338214904974e-07
"MSTRG.16906",2.49820050997866,7.43489367515971e-23,2.16547687680126e-20
"MSTRG.907",2.18388290610232,4.08153234635761e-15,3.51092652927774e-13
"MSTRG.9079",3.642252308227,1.22062867755786e-05,0.000151841533505044
"MSTRG.9071",0.374478859425915,0.000778621961427745,0.00518457264264837
"MSTRG.9251",-2.40774905441145,9.50518635510586e-09,2.61056191546305e-07
"MSTRG.3326",-3.79432528829839,4.24024978994715e-41,5.9692116417981e-38
"MSTRG.7309",0.715834503898392,1.41641206319506e-13,9.45748971681982e-12
"MSTRG.2360",-2.08626329967189,1.38655112299578e-09,4.48716630666048e-08
"MSTRG.10565",1.68194960355922,2.78639667932475e-23,8.55829074615146e-21
"MSTRG.16497",0.790523405855169,3.20223073151457e-12,1.72277973718075e-10
"MSTRG.6230",-4.05184393487058,5.03296895061897e-10,1.79750411168723e-08
"MSTRG.15560",-3.15815388845106,2.90599366155748e-09,8.81345618037533e-08
"MSTRG.17347",2.41245859922721,1.98363473029626e-07,4.09151910853415e-06
"MSTRG.4623",-0.842338325719295,7.96746402747091e-11,3.37329247659314e-09
"MSTRG.14285",-0.262973890967575,7.81668644333939e-05,0.000752406177135796
"MSTRG.17678",0.554021320025167,2.59179025448447e-12,1.40330489644251e-10
"MSTRG.11454",2.19372864290586,8.00222200834557e-17,8.6654831017296e-15
"MSTRG.6763",-1.88776498184524,4.43739896355561e-17,5.03093830143255e-15
"MSTRG.4709",1.00387850689072,1.29336835193751e-18,1.91656768151582e-16
